,Enemy training group,Algorithm,Run,Repetition,Enemy,Energy enemy,Enegy player
0,1,Roulette,1,1,1,80.0,0
1,1,Roulette,1,2,1,80.0,0
2,1,Roulette,1,3,1,80.0,0
3,1,Roulette,1,4,1,80.0,0
4,1,Roulette,1,5,1,80.0,0
5,1,Roulette,1,1,2,0,8
6,1,Roulette,1,2,2,0,8
7,1,Roulette,1,3,2,0,8
8,1,Roulette,1,4,2,0,8
9,1,Roulette,1,5,2,0,8
10,1,Roulette,1,1,3,70.0,0
11,1,Roulette,1,2,3,70.0,0
12,1,Roulette,1,3,3,70.0,0
13,1,Roulette,1,4,3,70.0,0
14,1,Roulette,1,5,3,70.0,0
15,1,Roulette,1,1,4,60.0,0
16,1,Roulette,1,2,4,60.0,0
17,1,Roulette,1,3,4,60.0,0
18,1,Roulette,1,4,4,60.0,0
19,1,Roulette,1,5,4,60.0,0
20,1,Roulette,1,1,5,50.0,0
21,1,Roulette,1,2,5,70.0,0
22,1,Roulette,1,3,5,70.0,0
23,1,Roulette,1,4,5,50.0,0
24,1,Roulette,1,5,5,70.0,0
25,1,Roulette,1,1,6,80.0,0
26,1,Roulette,1,2,6,80.0,0
27,1,Roulette,1,3,6,80.0,0
28,1,Roulette,1,4,6,80.0,0
29,1,Roulette,1,5,6,80.0,0
30,1,Roulette,1,1,7,0,9.400000000000231
31,1,Roulette,1,2,7,0,9.400000000000231
32,1,Roulette,1,3,7,0,9.400000000000231
33,1,Roulette,1,4,7,0,9.400000000000231
34,1,Roulette,1,5,7,0,9.400000000000231
35,1,Roulette,1,1,8,0,22.600000000000243
36,1,Roulette,1,2,8,0,22.600000000000243
37,1,Roulette,1,3,8,0,22.600000000000243
38,1,Roulette,1,4,8,0,22.600000000000243
39,1,Roulette,1,5,8,0,22.600000000000243
40,1,Roulette,2,1,1,100,0
41,1,Roulette,2,2,1,100,0
42,1,Roulette,2,3,1,100,0
43,1,Roulette,2,4,1,100,0
44,1,Roulette,2,5,1,100,0
45,1,Roulette,2,1,2,0,76
46,1,Roulette,2,2,2,0,76
47,1,Roulette,2,3,2,0,76
48,1,Roulette,2,4,2,0,76
49,1,Roulette,2,5,2,0,76
50,1,Roulette,2,1,3,90.0,0
51,1,Roulette,2,2,3,90.0,0
52,1,Roulette,2,3,3,90.0,0
53,1,Roulette,2,4,3,90.0,0
54,1,Roulette,2,5,3,90.0,0
55,1,Roulette,2,1,4,80.0,0
56,1,Roulette,2,2,4,80.0,0
57,1,Roulette,2,3,4,80.0,0
58,1,Roulette,2,4,4,80.0,0
59,1,Roulette,2,5,4,80.0,0
60,1,Roulette,2,1,5,60.0,0
61,1,Roulette,2,2,5,60.0,0
62,1,Roulette,2,3,5,60.0,0
63,1,Roulette,2,4,5,60.0,0
64,1,Roulette,2,5,5,50.0,0
65,1,Roulette,2,1,6,100,0
66,1,Roulette,2,2,6,100,0
67,1,Roulette,2,3,6,100,0
68,1,Roulette,2,4,6,100,0
69,1,Roulette,2,5,6,100,0
70,1,Roulette,2,1,7,10.0,0
71,1,Roulette,2,2,7,10.0,0
72,1,Roulette,2,3,7,10.0,0
73,1,Roulette,2,4,7,10.0,0
74,1,Roulette,2,5,7,10.0,0
75,1,Roulette,2,1,8,0,21.40000000000024
76,1,Roulette,2,2,8,0,21.40000000000024
77,1,Roulette,2,3,8,0,21.40000000000024
78,1,Roulette,2,4,8,0,21.40000000000024
79,1,Roulette,2,5,8,0,21.40000000000024
80,1,Roulette,3,1,1,100,0
81,1,Roulette,3,2,1,100,0
82,1,Roulette,3,3,1,100,0
83,1,Roulette,3,4,1,100,0
84,1,Roulette,3,5,1,100,0
85,1,Roulette,3,1,2,0,48
86,1,Roulette,3,2,2,0,48
87,1,Roulette,3,3,2,0,48
88,1,Roulette,3,4,2,0,48
89,1,Roulette,3,5,2,0,48
90,1,Roulette,3,1,3,90.0,0
91,1,Roulette,3,2,3,90.0,0
92,1,Roulette,3,3,3,90.0,0
93,1,Roulette,3,4,3,90.0,0
94,1,Roulette,3,5,3,90.0,0
95,1,Roulette,3,1,4,80.0,0
96,1,Roulette,3,2,4,80.0,0
97,1,Roulette,3,3,4,80.0,0
98,1,Roulette,3,4,4,80.0,0
99,1,Roulette,3,5,4,80.0,0
100,1,Roulette,3,1,5,90.0,0
101,1,Roulette,3,2,5,90.0,0
102,1,Roulette,3,3,5,90.0,0
103,1,Roulette,3,4,5,90.0,0
104,1,Roulette,3,5,5,90.0,0
105,1,Roulette,3,1,6,100,0
106,1,Roulette,3,2,6,100,0
107,1,Roulette,3,3,6,100,0
108,1,Roulette,3,4,6,100,0
109,1,Roulette,3,5,6,100,0
110,1,Roulette,3,1,7,0,13.00000000000023
111,1,Roulette,3,2,7,0,13.00000000000023
112,1,Roulette,3,3,7,0,13.00000000000023
113,1,Roulette,3,4,7,0,13.00000000000023
114,1,Roulette,3,5,7,0,13.00000000000023
115,1,Roulette,3,1,8,0,21.40000000000024
116,1,Roulette,3,2,8,0,21.40000000000024
117,1,Roulette,3,3,8,0,21.40000000000024
118,1,Roulette,3,4,8,0,21.40000000000024
119,1,Roulette,3,5,8,0,21.40000000000024
120,1,Roulette,4,1,1,80.0,0
