mut;environment;gen;mean;max
0,2;1;0;10,85498287;37,00726077
0,2;1;1;29,60918355;37,94012289
0,2;1;2;32,85638486;37,82260506
0,2;1;3;30,68094471;36,02049375
0,2;1;4;29,5040952;36,17344221
0,2;1;5;33,69131634;37,9482387
0,2;1;6;34,822617;40,04116745
0,2;1;7;35,58925982;40,93516548
0,2;1;8;33,68585396;39,86772542
0,2;1;9;34,93264799;41,6711462
0,2;1;10;38,69527088;43,9447423
0,2;1;11;37,54169731;52,26588178
0,2;1;12;43,58361138;51,3267105
0,2;1;13;45,03712652;51,338922
0,2;1;14;41,85825343;50,51756308
0,2;1;15;44,67713295;51,4957795
0,2;1;16;42,7589933;52,47673181
0,2;1;17;43,24982382;50,51090108
0,2;1;18;47,94570078;50,51444127
0,2;1;19;46,5154271;50,50440751
0,2;1;20;47,94559731;50,49026451
0,2;1;21;46,08985032;51,96876344
0,2;1;22;45,97990469;51,14126886
0,2;1;23;44,92110464;50,22049888
0,2;1;24;44,99431865;52,98145608
0,2;1;25;46,06564817;52,34046821
0,2;1;26;43,69982092;52,32696768
0,2;1;27;43,69806416;50,49692888
0,2;1;28;46,79094593;49,62983753
0,2;1;29;46,56064741;55,93638036
0,2;1;30;50,90818082;55,03476481
0,2;1;31;52,03932969;54,98162419
0,2;1;32;49,83564664;54,11648123
0,2;1;33;46,34474025;55,01026159
0,2;1;34;48,79585099;56,79349879
0,2;1;35;43,96529222;57,70570227
0,2;1;36;50,51770706;57,65928096
0,2;1;37;46,188881;56,73236151
0,2;1;38;49,8441449;55,8435638
0,2;1;39;48,26711696;58,4665265
0,2;1;40;47,09517868;61,1926537
0,2;1;41;55,00621459;66,57881481
0,2;1;42;57,95424925;66,59572916
0,2;1;43;58,77985241;70,17750755
0,2;1;44;63,85624228;77,16300458
0,2;1;45;61,10512347;76,27034733
0,2;1;46;59,85016154;72,66277522
0,2;1;47;65,70870601;72,74957754
0,2;1;48;63,10596536;79,47507832
0,2;1;49;67,48312274;79,51566596
0,2;1;50;67,92433239;79,51403991
0,2;1;51;62,47087408;79,51848474
0,2;1;52;63,45223333;79,50075224
0,2;1;53;63,70905592;79,50045329
0,2;1;54;73,11021185;79,50449799
0,2;1;55;66,14106902;79,50285186
0,2;1;56;61,54570284;74,98345328
0,2;1;57;62,05602232;75,4964588
0,2;1;58;59,98759411;73,65649024
0,2;1;59;62,4788988;75,48163315
0,2;1;60;66,34278593;72,78534402
0,2;1;61;63,79602925;73,59707082
0,2;1;62;68,11429919;73,59849701
0,2;1;63;61,15759654;73,7288624
0,2;1;64;62,11836048;73,72071015
0,2;1;65;55,11525094;74,6013445
0,2;1;66;65,28474263;73,72775007
0,2;1;67;65,78120976;73,52534896
0,2;1;68;65,64333932;74,38993236
0,2;1;69;69,19326264;74,4237861
0,2;1;70;67,10721583;72,67155846
0,2;1;71;64,70533513;72,67795205
0,2;1;72;63,90157668;73,62102328
0,2;1;73;67,5997134;73,57750241
0,2;1;74;64,91156144;74,44111561
0,2;1;75;64,41977037;74,44380274
0,2;1;76;66,72263627;74,44346095
0,2;1;77;66,84758122;72,63622181
0,2;1;78;69,00287611;74,4401087
0,2;1;79;65,26861341;74,52535895
0,2;2;0;5,943955243;14,6852866
0,2;2;1;11,93808153;16,65848364
0,2;2;2;13,33782115;18,70843383
0,2;2;3;15,95436559;19,0357852
0,2;2;4;16,89295773;19,6882676
0,2;2;5;15,72624408;19,07978315
0,2;2;6;15,56062502;19,3033997
0,2;2;7;15,55659325;18,99434617
0,2;2;8;16,04473036;20,20946132
0,2;2;9;16,36737467;19,02784361
0,2;2;10;14,89723788;19,03739987
0,2;2;11;15,51262418;20,20595612
0,2;2;12;16,99305427;20,21167851
0,2;2;13;15,74824287;19,10334772
0,2;2;14;13,40988362;18,85155913
0,2;2;15;15,49492179;20,35832282
0,2;2;16;15,10882376;20,96092086
0,2;2;17;16,13358519;20,0940022
0,2;2;18;17,73134803;20,56116861
0,2;2;19;15,83785262;18,97978655
0,2;2;20;17,01858599;19,23196311
0,2;2;21;16,49767829;19,61050907
0,2;2;22;16,42155073;20,37839409
0,2;2;23;18,54849716;27,17316259
0,2;2;24;19,82817463;26,91600129
0,2;2;25;23,80207807;27,30567802
0,2;2;26;21,53418663;27,58155083
0,2;2;27;19,76694305;27,04914326
0,2;2;28;22,80922066;27,43413985
0,2;2;29;23,35100369;27,81283697
0,2;2;30;23,6699974;30,87025003
0,2;2;31;24,00491437;32,39616873
0,2;2;32;26,64400736;32,99102447
0,2;2;33;27,41572779;33,74488594
0,2;2;34;27,41203375;33,56651109
0,2;2;35;24,29327019;33,91148854
0,2;2;36;24,845461;31,405042
0,2;2;37;21,79161138;31,0148701
0,2;2;38;22,46670715;30,63337034
0,2;2;39;21,69278179;32,05974112
0,2;2;40;19,05752317;29,49219267
0,2;2;41;24,35885027;35,16260392
0,2;2;42;21,6495325;28,40343816
0,2;2;43;19,13465814;27,70432007
0,2;2;44;18,61402435;27,04212292
0,2;2;45;20,38096768;27,61118395
0,2;2;46;21,86768397;30,483618
0,2;2;47;21,08660216;30,66062166
0,2;2;48;21,53654182;30,5855772
0,2;2;49;23,90543492;37,66326159
0,2;2;50;25,57121495;34,98687509
0,2;2;51;27,12395411;40,07633193
0,2;2;52;34,3939179;42,01090423
0,2;2;53;34,76149274;41,55663835
0,2;2;54;33,76537641;41,56462146
0,2;2;55;32,08060612;44,42437816
0,2;2;56;31,46463032;42,50832439
0,2;2;57;26,36647262;41,35620713
0,2;2;58;28,58206803;41,85576212
0,2;2;59;31,01109664;41,88882455
0,2;2;60;30,82436993;44,73520067
0,2;2;61;36,24756089;44,12764241
0,2;2;62;34,08848068;46,89804564
0,2;2;63;36,21950865;47,79833312
0,2;2;64;37,3985235;51,01812783
0,2;2;65;34,29180737;51,1724615
0,2;2;66;32,34645343;50,30702602
0,2;2;67;38,18839617;50,27999686
0,2;2;68;33,25889161;46,06340513
0,2;2;69;34,49496387;40,77064074
0,2;2;70;34,4693168;41,8570669
0,2;2;71;34,65277671;41,91790824
0,2;2;72;33,73653627;41,48403322
0,2;2;73;30,01295065;39,30588513
0,2;2;74;33,70792186;39,65321394
0,2;2;75;32,82387684;40,82455379
0,2;2;76;34,55573338;39,9745503
0,2;2;77;34,96740272;41,18035728
0,2;2;78;34,47093491;40,39309091
0,2;2;79;29,41936894;44,71224956
0,3;1;0;11,07657133;32,45408399
0,3;1;1;20,88871021;36,90788835
0,3;1;2;28,18911406;41,36791624
0,3;1;3;33,47977174;41,32668973
0,3;1;4;34,560431;39,66891075
0,3;1;5;33,5432779;44,98050636
0,3;1;6;36,19967241;44,92394778
0,3;1;7;36,56654847;45,17703222
0,3;1;8;38,50257489;44,94205807
0,3;1;9;42,33458286;46,78227148
0,3;1;10;42,19026622;46,74106822
0,3;1;11;39,93832118;47,64543909
0,3;1;12;37,457299;47,66736107
0,3;1;13;39,53470131;51,29280162
0,3;1;14;41,67244496;51,2864885
0,3;1;15;41,3259849;53,04121492
0,3;1;16;44,26479928;54,82398315
0,3;1;17;48,93046952;55,72398315
0,3;1;18;46,18878716;55,70075937
0,3;1;19;48,56808131;66,41639241
0,3;1;20;49,14956504;66,32964483
0,3;1;21;55,10818494;69,00201242
0,3;1;22;60,71198356;69,87633611
0,3;1;23;58,03559493;68,09113856
0,3;1;24;55,7799214;68,13800366
0,3;1;25;55,40489436;68,12734916
0,3;1;26;59,80393992;67,20898825
0,3;1;27;55,92509834;68,13155072
0,3;1;28;56,44354692;70,05087512
0,3;1;29;54,88457263;68,17982321
0,3;1;30;56,29972407;69,97166232
0,3;1;31;61,41078703;69,97313161
0,3;1;32;56,15513066;68,20795481
0,3;1;33;56,07793984;68,26296749
0,3;1;34;51,27716717;66,35113296
0,3;1;35;57,85989807;65,48411959
0,3;1;36;53,79874403;64,5796647
0,3;1;37;55,59567392;67,23571039
0,3;1;38;54,36606097;66,38134233
0,3;1;39;60,21500954;66,34914031
0,3;1;40;56,04818762;66,36260368
0,3;1;41;56,88363661;67,27577597
0,3;1;42;57,09139953;68,16345106
0,3;1;43;48,14115816;63,63446742
0,3;1;44;52,38225635;64,56412006
0,3;1;45;53,53215749;68,20700203
0,3;1;46;53,38731853;69,09221727
0,3;1;47;58,43648512;69,91087078
0,3;1;48;58,69927112;70,92138497
0,3;1;49;59,8591019;70,84138444
0,3;1;50;61,32899372;70,13454272
0,3;1;51;57,33752966;67,22674198
0,3;1;52;55,76122649;67,20186561
0,3;1;53;52,92636722;68,12779202
0,3;1;54;58,27200391;68,11068189
0,3;1;55;59,13609219;68,10067517
0,3;1;56;55,222164;67,22209341
0,3;1;57;53,82187755;70,0730863
0,3;1;58;56,94032425;67,21569728
0,3;1;59;50,99453992;67,19245647
0,3;1;60;58,17997249;67,22626133
0,3;1;61;52,35172066;67,22817553
0,3;1;62;54,14378379;68,1286457
0,3;1;63;57,33083659;65,39113039
0,3;1;64;53,59872186;66,28900588
0,3;1;65;59,82583103;66,28386867
0,3;1;66;50,11800473;67,16297489
0,3;1;67;57,28917297;67,28529358
0,3;1;68;52,59992747;66,36007439
0,3;1;69;54,08549695;68,18009431
0,3;1;70;58,08148483;66,47214475
0,3;1;71;55,21268487;68,23419432
0,3;1;72;57,57407158;68,3085515
0,3;1;73;56,95367789;68,26673871
0,3;1;74;59,00527591;68,20765625
0,3;1;75;60,17126293;70,58569623
0,3;1;76;59,71934058;70,60759872
0,3;1;77;55,64410803;70,08042786
0,3;1;78;57,9205526;70,09588634
0,3;1;79;58,53458172;71,81010655
0,3;2;0;10,50044901;26,10374785
0,3;2;1;21,56024703;27,05347231
0,3;2;2;22,64559856;26,88185944
0,3;2;3;21,69233028;25,09406586
0,3;2;4;19,46636405;24,37258845
0,3;2;5;22,56230061;24,40848491
0,3;2;6;24,58361004;26,31670549
0,3;2;7;23,90699107;26,25980065
0,3;2;8;20,61728368;25,18491237
0,3;2;9;23,51211526;26,10068743
0,3;2;10;23,99424865;27,65760813
0,3;2;11;24,19008372;37,27327058
0,3;2;12;29,13267076;36,04822199
0,3;2;13;31,28923265;36,12796664
0,3;2;14;29,010448;35,22400513
0,3;2;15;31,70221656;37,07217131
0,3;2;16;30,92828144;37,39174917
0,3;2;17;32,54000165;37,62210046
0,3;2;18;34,98221291;37,34990448
0,3;2;19;33,7670726;37,35102067
0,3;2;20;35,31098782;37,58609564
0,3;2;21;33,65222782;38,4725214
0,3;2;22;32,41456302;37,98585833
0,3;2;23;33,07626185;39,26208502
0,3;2;24;31,64734993;38,50972928
0,3;2;25;34,21604448;38,27624509
0,3;2;26;31,82368119;38,22306503
0,3;2;27;31,56938308;38,48679382
0,3;2;28;35,91994805;37,56435976
0,3;2;29;33,46326458;38,54428197
0,3;2;30;34,85902245;37,37864943
0,3;2;31;35,07754547;37,70716692
0,3;2;32;33,69357655;36,85496645
0,3;2;33;32,60620372;37,88932264
0,3;2;34;34,85407738;39,28319559
0,3;2;35;30,77288844;39,65835232
0,3;2;36;34,21519076;39,51526185
0,3;2;37;30,78833063;39,47721844
0,3;2;38;32,80500241;38,79479313
0,3;2;39;29,98489871;41,4085011
