environment;gen;mean;max
1;0;8,359481294;22,44468586
1;1;7,374293565;18,22858903
1;2;8,833788116;21,27555557
1;3;11,26878255;31,13980609
1;4;12,26809084;34,07302823
1;5;14,1771971;41,67862224
1;6;15,93617533;46,6307453
1;7;18,13833969;48,6058547
1;8;19,26280981;52,99097072
1;9;25,04261611;52,07023605
1;10;23,85823867;49,69366515
1;11;27,87094641;56,80796232
1;12;30,79527581;57,53093076
1;13;30,07832097;62,79718849
1;14;33,06897424;64,78278564
1;15;35,64028169;61,10740192
1;16;36,65758661;60,42051103
1;17;42,60512466;65,78940965
1;18;40,56188381;64,71267586
1;19;38,68734264;61,0476308
1;20;41,00985166;66,58599437
1;21;46,33384607;69,14110494
1;22;43,6629133;65,53030914
1;23;44,58062093;66,60790667
1;24;45,5651008;71,89317259
1;25;45,75636959;67,44608638
1;26;45,34440462;67,71953674
1;27;47,54053162;68,49666965
1;28;47,68747793;70,25125096
1;29;47,35846857;70,47642765
1;30;48,70074852;67,44385391
1;31;49,71326821;70,3210834
1;32;46,16752489;66,51743969
1;33;46,11745554;66,5141239
1;34;45,99684343;69,22416759
1;35;48,72323691;67,48483204
1;36;50,00352996;68,53735889
1;37;49,88298225;69,42333977
1;38;47,89416654;68,27214129
1;39;48,61452762;71,22831587
1;40;49,575356;68,47867426
1;41;48,32824274;65,54992286
1;42;48,42944923;70,30434273
1;43;50,1856524;71,16364065
1;44;57,55639183;69,44201334
1;45;57,71811103;72,15861923
1;46;54,22924177;73,35718612
1;47;48,43713717;69,24993907
1;48;48,42112012;69,74781073
1;49;49,52726558;67,56082026
1;50;52,33532075;72,35519273
1;51;49,41530666;71,18027493
1;52;54,72142673;72,92127589
1;53;49,97302978;67,5252516
1;54;53,21669589;70,88725609
1;55;53,82344352;70,26537904
1;56;49,35738921;70,24194521
1;57;50,7108279;70,59876346
1;58;51,75487431;69,5847127
1;59;51,97086403;67,06515657
1;60;50,20763967;71,95315956
1;61;52,60153994;69,50555046
1;62;54,84106198;67,62523229
1;63;55,5664707;72,11373322
1;64;51,34583581;68,75635252
1;65;46,80445253;74,11212254
1;66;43,61147585;69,3677407
1;67;43,5860343;65,63711118
1;68;51,05940261;71,44282166
1;69;53,02163002;73,05650178
1;70;53,42434995;70,74400484
1;71;55,5179919;70,62268488
1;72;56,40652633;69,74325528
1;73;50,74530012;70,46931686
1;74;45,4636449;68,82384502
1;75;42,96958091;64,98171919
1;76;46,29069482;64,86117289
1;77;49,79103604;69,36406211
1;78;50,79899868;68,44936914
1;79;53,01094142;70,40426227
2;0;8,020015274;20,36462936
2;1;8,255567632;18,9903701
2;2;6,191848957;13,80649848
2;3;5,827236022;13,93067793
2;4;7,215023857;19,12898504
2;5;8,907916442;24,92787762
2;6;9,39438717;22,25219994
2;7;8,634911545;23,092867
2;8;12,2576592;28,53120326
2;9;11,13471911;25,62371218
2;10;12,8849785;29,93419124
2;11;14,16776997;30,10837754
2;12;18,54200898;35,41994365
2;13;19,65509282;36,79000046
2;14;18,57872972;32,60032605
2;15;18,99034474;30,81854989
2;16;18,75221518;31,6212831
2;17;23,04636016;36,75645007
2;18;25,05374506;41,50846665
2;19;20,81347428;34,60984917
2;20;22,14923993;35,35512694
2;21;23,17600769;36,35487552
2;22;25,06906914;40,80813505
2;23;27,48534059;39,29446996
2;24;25,1296088;36,7242627
2;25;22,95067497;35,75122837
2;26;24,30433946;39,91702296
2;27;25,22732491;37,30850855
2;28;25,75235397;37,66979338
2;29;26,13387008;40,67670202
2;30;23,47129817;39,67123453
2;31;24,98308108;39,00941087
2;32;26,94638882;38,14808764
2;33;25,33750148;36,50455731
2;34;26,23189006;39,4516268
2;35;28,47057818;42,59006151
2;36;25,11070789;39,18779982
2;37;26,04666321;42,96185099
2;38;23,15611628;32,32515886
2;39;26,87464247;40,667584
2;40;28,21587016;42,48507682
2;41;29,15977447;41,89958029
2;42;30,12241551;44,05430465
2;43;28,10774032;40,00159682
2;44;26,26609047;41,86527446
2;45;25,36552534;40,31233906
2;46;25,4560097;40,0018452
2;47;25,59887521;37,91417177
2;48;30,17352539;43,11011427
2;49;30,68663942;41,11274606
2;50;29,4278147;40,66438576
2;51;28,73123366;42,72533452
2;52;27,17533592;40,08761366
2;53;24,34564515;35,09548147
2;54;28,16027374;41,84765632
2;55;26,2752495;40,92638817
2;56;29,56331149;47,87171383
2;57;29,53481403;43,62818907
2;58;27,64715889;43,63903785
2;59;29,81100428;40,27554044
2;60;30,14901556;42,02396114
2;61;31,38014242;40,42665
2;62;28,0188345;39,07686227
2;63;29,19999142;40,16492238
2;64;30,20447193;43,42043115
2;65;29,68249478;46,49901443
2;66;29,44470821;42,92742711
2;67;29,02465805;41,33354392
2;68;30,17871451;42,88579307
2;69;28,05410873;42,46462597
2;70;31,56236793;45,4801047
2;71;29,73427013;43,33053034
2;72;28,27220003;40,50415223
2;73;28,35150535;41,23514191
2;74;29,46537451;47,14160605
2;75;27,93688006;42,97203157
2;76;26,18050042;39,10176961
2;77;30,57628823;42,9953972
2;78;29,390805;43,15308458
2;79;32,70266234;49,50915185
